,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Ushuaia,-54.81,-68.31,46.4,73,75,24.16
1,Rikitea,-23.12,-134.97,78.08,74,100,5.64
2,Boa Vista,2.82,-60.67,89.6,52,40,3.36
3,Freeport,26.54,-78.7,73.4,69,20,16.11
4,Hermanus,-34.42,19.24,64.11,84,20,1.99
5,Bethel,60.79,-161.76,14.92,85,90,3.36
6,Thompson,55.74,-97.86,1.4,84,75,3.09
7,Kapaa,22.08,-159.32,80.92,61,20,13.87
8,Cidreira,-30.17,-50.22,70.88,77,0,24.83
9,Kahului,20.89,-156.47,77.86,48,40,27.51
10,Verkh-Usugli,52.7,115.17,0.48,97,97,0.81
11,Souillac,45.6,-0.6,43.0,100,20,2.24
12,Ahuimanu,21.44,-157.84,82.33,58,40,10.29
13,Arraial do Cabo,-22.97,-42.02,74.26,69,20,6.93
14,Cabo San Lucas,22.89,-109.91,76.98,65,40,12.75
15,Saldanha,41.42,-6.55,53.04,97,100,6.67
16,Butaritari,3.07,172.79,83.28,66,34,1.86
17,Mataura,-46.19,168.86,59.04,69,0,0.4
18,Vaini,15.34,74.49,68.83,79,67,8.41
19,Clyde River,70.47,-68.59,12.2,78,40,10.29
20,Saint George,39.45,22.34,57.2,62,20,5.82
21,Bluff,-23.58,149.07,71.62,75,16,8.23
22,Ilulissat,69.22,-51.1,26.6,79,98,11.41
23,Businga,3.34,20.89,71.51,95,18,1.99
24,Dikson,73.51,80.55,-3.03,97,100,2.39
25,Vestmannaeyjar,63.44,-20.27,35.29,75,0,7.87
26,Bafia,4.74,11.22,72.43,75,91,3.36
27,Matara,-3.48,29.48,58.66,90,100,2.71
28,Mumford,5.26,-0.76,78.03,86,10,3.11
29,Provideniya,64.42,-173.23,21.0,90,100,27.34
30,Samarai,-10.62,150.67,77.97,88,47,1.74
31,Erie,42.13,-80.09,31.53,74,90,4.7
32,Barrow,-38.31,-60.23,77.41,16,0,20.42
33,Comodoro Rivadavia,-45.87,-67.48,53.6,66,40,18.34
34,Kipushi,-11.76,27.24,65.89,94,100,0.18
35,Almaznyy,48.03,40.04,44.6,93,75,17.9
36,Cape Town,-33.93,18.42,65.88,63,75,6.93
37,Bredasdorp,-34.53,20.04,63.52,72,81,2.24
38,Road Town,18.42,-64.62,78.64,69,75,5.82
39,Klaksvik,62.23,-6.59,33.8,86,99,3.36
40,Qaanaaq,77.48,-69.36,4.42,96,100,7.81
41,Novyy Urengoy,66.08,76.63,-7.58,79,100,14.88
42,Yellowknife,62.45,-114.38,15.44,78,75,4.7
43,Talnakh,69.49,88.39,-27.4,74,56,8.95
44,Castro,-42.48,-73.76,51.8,76,90,11.41
45,Tura,64.27,100.22,-4.5,97,100,5.17
